pagina	pregunta	incisos
394	nivel_educacion	b
394	tono	a
394	emociones	e
397	tipo_entidad	h
397	origen_entidad	b
397	proposito	d
397	informacion_presentada	a
397	vision	d
397	consecuencias	c
397	que_muestra	c
397	intencion	c
397	localizacion_problema	c
397	involucrados	f d
397	formalidad	a
397	nivel_educacion	b
397	tono	b
397	emociones	h
397	tipo_entidad	h
397	origen_entidad	b
397	proposito	d
397	informacion_presentada	a
397	vision	d
397	consecuencias	c
397	que_muestra	c
397	intencion	a
397	localizacion_problema	a
397	involucrados	c
397	formalidad	a
397	nivel_educacion	b
397	tono	b
397	emociones	h
397	tipo_entidad	h
397	origen_entidad	b
397	proposito	d
397	informacion_presentada	a
397	vision	d
397	consecuencias	c
397	que_muestra	d
397	intencion	b
397	localizacion_problema	b
397	involucrados	a
397	formalidad	a
397	nivel_educacion	b
397	tono	b
397	emociones	h
199	tipo_entidad	b
199	origen_entidad	a
199	proposito	b
199	informacion_presentada	a
199	vision	d
199	consecuencias	a
199	que_muestra	a
199	intencion	c
199	localizacion_problema	c
199	involucrados	a f b d
199	formalidad	a
199	nivel_educacion	b
199	tono	a
199	emociones	e
199	tipo_entidad	b
199	origen_entidad	a
199	proposito	d
199	informacion_presentada	a
199	vision	d
199	consecuencias	c
199	que_muestra	c
199	intencion	c
199	localizacion_problema	a
199	involucrados	b f
199	formalidad	a
199	nivel_educacion	b
199	tono	a
199	emociones	e
199	tipo_entidad	b
199	origen_entidad	a
199	proposito	b
199	informacion_presentada	a
199	vision	d
199	consecuencias	c
199	que_muestra	a
199	intencion	c
199	localizacion_problema	b
199	involucrados	b f
199	formalidad	a
199	nivel_educacion	b
199	tono	a
199	emociones	e
4	tipo_entidad	h
4	origen_entidad	b
4	proposito	d
4	informacion_presentada	a
4	vision	d
4	consecuencias	b
4	que_muestra	d
4	intencion	a
4	localizacion_problema	b
4	involucrados	b f
4	formalidad	a
4	nivel_educacion	b
4	tono	a
4	emociones	d
4	tipo_entidad	h
4	origen_entidad	b
4	proposito	d
4	informacion_presentada	a
4	vision	d
4	consecuencias	b
4	que_muestra	c
4	intencion	a
4	localizacion_problema	b
4	involucrados	f c d
4	formalidad	a
4	nivel_educacion	b
4	tono	b
4	emociones	e
4	tipo_entidad	h
4	origen_entidad	b
4	proposito	d
4	informacion_presentada	a
4	vision	d
4	consecuencias	b
4	que_muestra	d
4	intencion	b
4	localizacion_problema	b
4	involucrados	f g c d
4	formalidad	a
4	nivel_educacion	b
4	tono	b
4	emociones	f
2	tipo_entidad	h
2	origen_entidad	b
2	proposito	d
2	informacion_presentada	a
2	vision	d
2	consecuencias	c
2	que_muestra	d
2	intencion	a
2	localizacion_problema	b
2	involucrados	c
2	formalidad	a
2	nivel_educacion	b
2	tono	b
2	emociones	h
2	tipo_entidad	h
2	origen_entidad	b
2	proposito	d
2	informacion_presentada	a
2	vision	d
2	consecuencias	c
2	que_muestra	b
2	intencion	a
2	localizacion_problema	b
2	involucrados	f e c
2	formalidad	a
2	nivel_educacion	b
2	tono	b
2	emociones	h
2	tipo_entidad	h
2	origen_entidad	b
2	proposito	d
2	informacion_presentada	a
2	vision	d
2	consecuencias	c
2	que_muestra	d
2	intencion	a
2	localizacion_problema	b
2	involucrados	f e c d
2	formalidad	a
2	nivel_educacion	b
2	tono	b
2	emociones	f
420	tipo_entidad	b
420	origen_entidad	a
420	proposito	c
420	informacion_presentada	a
420	vision	d
420	consecuencias	a
420	que_muestra	d
420	intencion	b
420	localizacion_problema	a
420	involucrados	a
420	formalidad	a
420	nivel_educacion	b
420	tono	a
420	emociones	h
420	tipo_entidad	b
420	origen_entidad	a
420	proposito	d
420	informacion_presentada	a
420	vision	d
420	consecuencias	a
420	que_muestra	d
420	intencion	e
420	localizacion_problema	a
420	involucrados	c
420	formalidad	a
420	nivel_educacion	b
420	tono	a
420	emociones	e
420	tipo_entidad	h
420	origen_entidad	b
420	proposito	d
420	informacion_presentada	a
420	vision	d
420	consecuencias	a
420	que_muestra	d
420	intencion	c
420	localizacion_problema	c
420	involucrados	a
420	formalidad	a
420	nivel_educacion	b
420	tono	b
420	emociones	e
587	tipo_entidad	h
587	origen_entidad	b
587	proposito	d
587	informacion_presentada	a
587	vision	d
587	consecuencias	c
587	que_muestra	d
587	intencion	a
587	localizacion_problema	b
587	formalidad	a
587	nivel_educacion	b
587	tono	b
587	emociones	e
587	tipo_entidad	h
587	origen_entidad	b
587	proposito	d
587	informacion_presentada	a
587	vision	d
587	consecuencias	c
587	que_muestra	d
587	intencion	a
587	localizacion_problema	b
587	involucrados	b e c
587	formalidad	a
587	nivel_educacion	b
587	tono	b
587	tipo_entidad	h
587	origen_entidad	b
587	proposito	d
587	informacion_presentada	a
587	vision	d
587	consecuencias	c
587	que_muestra	d
587	intencion	b
587	localizacion_problema	b
587	formalidad	a
587	nivel_educacion	b
587	tono	b
238	tipo_entidad	h
238	origen_entidad	a
238	proposito	d
238	informacion_presentada	a
238	vision	d
238	consecuencias	c
238	que_muestra	d
238	intencion	a
238	localizacion_problema	b
238	involucrados	c
238	formalidad	a
238	nivel_educacion	b
238	tono	b
238	emociones	h
238	tipo_entidad	h
238	origen_entidad	b
238	proposito	e
238	informacion_presentada	a
238	vision	d
238	consecuencias	a
238	que_muestra	c
238	intencion	a
238	localizacion_problema	b
238	involucrados	f d
238	formalidad	a
238	nivel_educacion	b
238	tono	a
238	emociones	h
238	tipo_entidad	h
238	origen_entidad	a
238	proposito	d
238	informacion_presentada	a
238	vision	d
238	consecuencias	c
238	que_muestra	c
238	intencion	a
238	localizacion_problema	b
238	involucrados	f c
238	formalidad	a
238	nivel_educacion	b
238	tono	b
238	emociones	g
246	tipo_entidad	h
246	origen_entidad	a
246	proposito	d
246	informacion_presentada	a
246	vision	d
246	consecuencias	a
246	que_muestra	d
246	intencion	a
246	localizacion_problema	b
246	involucrados	f e a b d h
246	formalidad	a
246	nivel_educacion	b
246	tono	a
246	emociones	g
246	tipo_entidad	h
246	origen_entidad	b
246	proposito	d
246	informacion_presentada	a
246	vision	d
246	consecuencias	a
246	que_muestra	d
246	intencion	c
246	localizacion_problema	c
246	involucrados	b
246	formalidad	a
246	nivel_educacion	b
246	tono	b
246	emociones	h
246	tipo_entidad	a
246	origen_entidad	a
246	proposito	d
246	informacion_presentada	a
246	vision	d
246	consecuencias	a
246	que_muestra	c
246	intencion	a
246	localizacion_problema	c
246	involucrados	b e c f
246	formalidad	a
246	nivel_educacion	b
246	tono	b
246	emociones	h
324	tipo_entidad	h
324	origen_entidad	b
324	proposito	d
324	informacion_presentada	a
324	vision	d
324	consecuencias	c
324	que_muestra	c
324	intencion	b
324	localizacion_problema	b
324	involucrados	c
324	formalidad	a
324	nivel_educacion	b
324	tono	a
324	emociones	h
324	tipo_entidad	h
324	origen_entidad	b
324	proposito	d
324	informacion_presentada	a
324	vision	d
324	consecuencias	c
324	que_muestra	d
324	intencion	e
324	localizacion_problema	b
324	involucrados	a c f d
324	formalidad	a
324	nivel_educacion	b
324	tono	b
324	emociones	a
324	tipo_entidad	h
324	origen_entidad	b
324	proposito	d
324	informacion_presentada	a
324	vision	d
324	consecuencias	c
324	que_muestra	c
324	intencion	a
324	localizacion_problema	b
324	involucrados	c
324	formalidad	a
324	nivel_educacion	b
324	tono	a
324	emociones	h
444	tipo_entidad	h
444	origen_entidad	b
444	proposito	d
444	informacion_presentada	a
444	vision	d
444	consecuencias	c
444	que_muestra	b
444	intencion	a
444	localizacion_problema	b
444	involucrados	b c
444	formalidad	a
444	nivel_educacion	b
444	tono	b
444	emociones	h
444	tipo_entidad	h
444	origen_entidad	b
444	proposito	d
444	informacion_presentada	a
444	vision	d
444	consecuencias	c
444	que_muestra	c
444	intencion	a
444	localizacion_problema	b
444	involucrados	c
444	formalidad	a
444	nivel_educacion	b
444	tono	b
444	emociones	h
444	tipo_entidad	h
444	origen_entidad	b
444	proposito	d
444	informacion_presentada	a
444	vision	d
444	consecuencias	c
444	que_muestra	b
444	intencion	a
444	localizacion_problema	b
444	involucrados	a f
444	formalidad	a
444	nivel_educacion	b
444	tono	b
444	emociones	h
59	tipo_entidad	a
59	origen_entidad	b
59	proposito	c
59	informacion_presentada	a
59	vision	d
59	consecuencias	c
59	que_muestra	c
59	intencion	c
59	localizacion_problema	b
59	involucrados	d
59	formalidad	a
59	nivel_educacion	b
59	tono	b
59	emociones	h
59	tipo_entidad	h
59	origen_entidad	b
59	proposito	d
59	informacion_presentada	a
59	vision	d
59	consecuencias	c
59	que_muestra	c
59	intencion	a
59	localizacion_problema	b
59	involucrados	c
59	formalidad	a
59	nivel_educacion	b
59	tono	b
59	emociones	h
59	tipo_entidad	h
59	origen_entidad	b
59	proposito	c
59	informacion_presentada	a
59	vision	d
59	consecuencias	c
59	que_muestra	d
59	intencion	a
59	localizacion_problema	b
59	involucrados	f d
59	formalidad	a
59	nivel_educacion	b
59	tono	b
59	emociones	h
489	tipo_entidad	h
489	origen_entidad	b
489	proposito	d
489	informacion_presentada	a
489	vision	d
489	consecuencias	b
489	que_muestra	c
489	intencion	a
489	localizacion_problema	c
489	involucrados	b
489	formalidad	a
489	nivel_educacion	b
489	tono	b
489	emociones	f
489	tipo_entidad	h
489	origen_entidad	b
489	proposito	d
489	informacion_presentada	a
489	vision	d
489	consecuencias	a
489	que_muestra	c
489	intencion	a
489	localizacion_problema	b
489	involucrados	b
489	formalidad	a
489	nivel_educacion	b
489	tono	b
489	emociones	g
489	tipo_entidad	h
489	origen_entidad	b
489	proposito	d
489	informacion_presentada	a
489	vision	d
489	consecuencias	c
489	que_muestra	c
489	intencion	a
489	localizacion_problema	b
489	involucrados	c
489	formalidad	a
489	nivel_educacion	b
489	tono	b
489	emociones	h
487	tipo_entidad	b
487	origen_entidad	a
487	proposito	h d
487	informacion_presentada	a
487	vision	d
487	consecuencias	a
487	que_muestra	c
487	intencion	b
487	localizacion_problema	b
487	involucrados	b
487	formalidad	a
487	nivel_educacion	b
487	tono	a
487	emociones	d
487	tipo_entidad	b
487	origen_entidad	b
487	proposito	d
487	informacion_presentada	a
487	vision	d
487	consecuencias	a
487	que_muestra	c
487	intencion	a
487	localizacion_problema	b
487	involucrados	a f e b
487	formalidad	a
487	nivel_educacion	b
487	tono	a
487	emociones	g
487	tipo_entidad	b
487	origen_entidad	a
487	proposito	h d
487	informacion_presentada	a
487	vision	d
487	consecuencias	c
487	que_muestra	b
487	intencion	e
487	localizacion_problema	b
487	involucrados	c
487	formalidad	a
487	nivel_educacion	b
487	tono	a
487	emociones	g
19	tipo_entidad	h
19	origen_entidad	b
19	proposito	b
19	informacion_presentada	a
19	consecuencias	d
19	que_muestra	d
19	intencion	b
19	localizacion_problema	b
19	involucrados	c
19	nivel_educacion	b
19	tono	b
19	emociones	h
19	tipo_entidad	h
19	origen_entidad	b
19	proposito	d
19	informacion_presentada	a
19	consecuencias	c
19	que_muestra	c
19	intencion	a
19	localizacion_problema	c
19	involucrados	c
19	formalidad	a
19	nivel_educacion	b
19	tono	b
19	emociones	h
19	tipo_entidad	h
19	origen_entidad	b
19	proposito	b
19	informacion_presentada	a
19	consecuencias	d
19	que_muestra	d
19	intencion	e
19	localizacion_problema	b
19	involucrados	c
19	nivel_educacion	b
19	tono	b
19	emociones	h
105	tipo_entidad	h
105	origen_entidad	b
105	proposito	d
105	informacion_presentada	a
105	vision	d
105	consecuencias	c
105	que_muestra	c
105	intencion	b
105	localizacion_problema	c
105	involucrados	b
105	formalidad	a
105	nivel_educacion	b
105	tono	b
105	emociones	h
105	tipo_entidad	h
105	origen_entidad	b
105	proposito	d
105	informacion_presentada	a
105	vision	d
105	consecuencias	c
105	que_muestra	c
105	intencion	b
105	localizacion_problema	b
105	involucrados	f e c
105	formalidad	a
105	nivel_educacion	b
105	tono	a
105	emociones	h
105	tipo_entidad	h
105	origen_entidad	b
105	proposito	d
105	informacion_presentada	a
105	vision	d
105	consecuencias	c
105	que_muestra	c
105	intencion	b
105	localizacion_problema	b
105	involucrados	a f e b
105	formalidad	a
105	nivel_educacion	b
105	tono	a
105	emociones	g
525	tipo_entidad	a
525	origen_entidad	b
525	proposito	d
525	informacion_presentada	a
525	vision	d
525	consecuencias	c
525	que_muestra	c
525	intencion	a
525	localizacion_problema	b
525	involucrados	b c
525	formalidad	a
525	nivel_educacion	b
525	tono	a
525	emociones	h
525	tipo_entidad	a
525	origen_entidad	b
525	proposito	d
525	informacion_presentada	a
525	vision	d
525	consecuencias	c
525	que_muestra	c
525	intencion	a
525	localizacion_problema	b
525	involucrados	b e c f
525	formalidad	a
525	nivel_educacion	b
525	tono	b
525	emociones	c
525	tipo_entidad	a
525	origen_entidad	a
525	proposito	d
525	informacion_presentada	a
525	vision	d
525	consecuencias	c
525	que_muestra	c
525	intencion	a
525	localizacion_problema	c
525	involucrados	a f b
525	formalidad	a
525	nivel_educacion	b
525	tono	b
525	emociones	h
159	tipo_entidad	h
159	origen_entidad	b
159	proposito	d
159	informacion_presentada	a
159	vision	d
159	consecuencias	b
159	que_muestra	d
159	intencion	c
159	localizacion_problema	b
159	involucrados	c
159	formalidad	a
159	nivel_educacion	b
159	tono	b
159	emociones	h
159	tipo_entidad	h
159	origen_entidad	b
159	proposito	d
159	informacion_presentada	a
159	vision	d
159	consecuencias	c
159	que_muestra	d
159	intencion	b
159	localizacion_problema	c
159	involucrados	c
159	formalidad	a
159	nivel_educacion	b
159	tono	a
159	emociones	h
159	tipo_entidad	h
159	origen_entidad	b
159	proposito	d
159	informacion_presentada	a
159	vision	d
159	consecuencias	c
159	que_muestra	c
159	intencion	b
159	localizacion_problema	b
159	involucrados	c
159	formalidad	a
159	nivel_educacion	b
159	tono	a
159	emociones	h
245	tipo_entidad	e
245	origen_entidad	b
245	proposito	d
245	informacion_presentada	a c
245	vision	d
245	consecuencias	c
245	que_muestra	c
245	intencion	e
245	localizacion_problema	c
245	involucrados	d
245	formalidad	b
245	nivel_educacion	b
245	tono	b
245	emociones	h
245	tipo_entidad	e
245	origen_entidad	b
245	proposito	b
245	informacion_presentada	a
245	consecuencias	c
245	que_muestra	c
245	intencion	a
245	localizacion_problema	c
245	involucrados	c
245	formalidad	a
245	nivel_educacion	b
245	tono	b
245	emociones	c
245	tipo_entidad	d
245	origen_entidad	b
245	proposito	d
245	informacion_presentada	a
245	vision	d
245	consecuencias	c
245	que_muestra	c
245	intencion	b
245	localizacion_problema	b
245	involucrados	c
245	formalidad	a
245	nivel_educacion	b
245	tono	b
245	emociones	h
526	tipo_entidad	h
526	origen_entidad	b
526	proposito	d
526	informacion_presentada	a
526	vision	d
526	consecuencias	c
526	que_muestra	c
526	intencion	a
526	localizacion_problema	b
526	involucrados	e
526	formalidad	a
526	nivel_educacion	b
526	tono	b
526	emociones	b
526	tipo_entidad	h
526	origen_entidad	b
526	proposito	d
526	informacion_presentada	a
526	vision	d
526	consecuencias	c
526	que_muestra	c
526	intencion	a
526	localizacion_problema	b
526	involucrados	f c d
526	formalidad	a
526	nivel_educacion	b
526	tono	b
526	emociones	e
526	tipo_entidad	h
526	origen_entidad	b
526	proposito	d
526	informacion_presentada	a
526	vision	d
526	consecuencias	c
526	que_muestra	c
526	intencion	a
526	localizacion_problema	b
526	involucrados	f e d
526	formalidad	a
526	nivel_educacion	a
526	tono	a
526	emociones	c
484	tipo_entidad	a
484	origen_entidad	a
484	proposito	d
484	informacion_presentada	a
484	vision	d
484	consecuencias	a
484	que_muestra	c
484	intencion	b
484	localizacion_problema	b
484	involucrados	a d
484	formalidad	a
484	nivel_educacion	b
484	tono	a
484	emociones	g
484	tipo_entidad	a
484	origen_entidad	b
484	proposito	d
484	informacion_presentada	a
484	vision	d
484	consecuencias	c
484	que_muestra	b
484	intencion	b
484	localizacion_problema	b
484	involucrados	e
484	formalidad	a
484	nivel_educacion	b
484	tono	a
484	emociones	e
484	tipo_entidad	a
484	origen_entidad	a
484	proposito	h d
484	informacion_presentada	a
484	vision	d
484	consecuencias	b
484	que_muestra	c
484	intencion	a
484	localizacion_problema	b
484	involucrados	c
484	formalidad	a
484	nivel_educacion	b
484	tono	a
484	emociones	g
406	tipo_entidad	b
406	origen_entidad	b
406	proposito	g h d
406	informacion_presentada	a
406	vision	d
406	consecuencias	c
406	que_muestra	c
406	intencion	b
406	localizacion_problema	b
406	involucrados	b c
406	formalidad	a
406	nivel_educacion	b
406	tono	b
406	emociones	e
406	tipo_entidad	b
406	origen_entidad	b
406	proposito	h d
406	informacion_presentada	a
406	vision	d
406	consecuencias	c
406	que_muestra	c
406	intencion	a
406	localizacion_problema	b
406	involucrados	f c d
406	formalidad	a
406	nivel_educacion	b
406	tono	a
406	emociones	h
406	tipo_entidad	b
406	origen_entidad	b
406	proposito	d
406	informacion_presentada	a
406	vision	d
406	consecuencias	c
406	que_muestra	c
406	intencion	b
406	localizacion_problema	b
406	involucrados	f e
406	formalidad	a
406	nivel_educacion	b
406	tono	a
406	emociones	g
275	tipo_entidad	h
275	origen_entidad	b
275	proposito	d
275	informacion_presentada	a
275	vision	d
275	consecuencias	c
275	que_muestra	c
275	intencion	a
275	localizacion_problema	c
275	involucrados	c
275	formalidad	a
275	nivel_educacion	b
275	tono	b
275	emociones	h
275	tipo_entidad	h
275	origen_entidad	b
275	proposito	d
275	informacion_presentada	a
275	vision	d
275	consecuencias	a c b
275	que_muestra	d
275	intencion	b
275	localizacion_problema	c
275	involucrados	c
275	formalidad	a
275	nivel_educacion	b
275	tono	b
275	emociones	h
275	tipo_entidad	h
275	origen_entidad	b
275	proposito	d
275	informacion_presentada	a
275	vision	d
275	consecuencias	a c b
275	que_muestra	c
275	intencion	a
275	localizacion_problema	c
275	involucrados	c
275	formalidad	a
275	nivel_educacion	b
275	tono	b
275	emociones	h
127	tipo_entidad	h
127	origen_entidad	b
127	proposito	d
127	informacion_presentada	a
127	vision	d
127	consecuencias	c
127	que_muestra	c
127	intencion	c
127	localizacion_problema	b
127	involucrados	e
127	formalidad	a
127	nivel_educacion	b
127	tono	a
127	emociones	h
127	tipo_entidad	h
127	origen_entidad	b
127	proposito	d
127	informacion_presentada	a
127	vision	d
127	consecuencias	c
127	que_muestra	c
127	intencion	a
127	localizacion_problema	b
127	involucrados	f e c
127	formalidad	a
127	nivel_educacion	b
127	tono	b
127	emociones	h
127	tipo_entidad	h
127	origen_entidad	b
127	proposito	d
127	informacion_presentada	a
127	vision	d
127	consecuencias	c
127	que_muestra	c
127	intencion	c
127	localizacion_problema	b
127	involucrados	c
127	formalidad	a
127	nivel_educacion	b
127	tono	a
127	emociones	h
263	tipo_entidad	h
263	origen_entidad	a
263	proposito	d
263	informacion_presentada	a
263	vision	d
263	consecuencias	d
263	que_muestra	d
263	intencion	f
263	localizacion_problema	c
263	involucrados	f e d
263	formalidad	a
263	nivel_educacion	b
263	tono	b
263	emociones	h
263	tipo_entidad	h
263	origen_entidad	a
263	proposito	d
263	informacion_presentada	a
263	vision	d
263	consecuencias	b
263	que_muestra	d
263	intencion	b
263	localizacion_problema	b
263	involucrados	c
263	formalidad	a
263	nivel_educacion	b
263	tono	b
263	emociones	g
263	tipo_entidad	h
263	origen_entidad	b
263	proposito	d
263	informacion_presentada	a
263	vision	d
263	consecuencias	d
263	que_muestra	d
263	intencion	b
263	localizacion_problema	c
263	involucrados	c
263	formalidad	a
263	nivel_educacion	b
263	tono	a
263	emociones	g
187	tipo_entidad	h
187	origen_entidad	b
187	proposito	d
187	informacion_presentada	a
187	vision	d
187	consecuencias	d
187	que_muestra	c
187	intencion	a
187	localizacion_problema	c
187	involucrados	c
187	formalidad	a
187	nivel_educacion	b
187	tono	b
187	emociones	h
187	tipo_entidad	h
187	origen_entidad	b
187	proposito	d
187	informacion_presentada	a
187	vision	d
187	consecuencias	c
187	que_muestra	d
187	intencion	a
187	localizacion_problema	b
187	involucrados	e a b c d
187	formalidad	a
187	nivel_educacion	b
187	tono	b
187	emociones	h
187	tipo_entidad	h
187	origen_entidad	b
187	proposito	d
187	informacion_presentada	a b
187	vision	d
187	consecuencias	a
187	que_muestra	d
187	intencion	a
187	localizacion_problema	c
187	involucrados	c
187	formalidad	a
187	nivel_educacion	b
187	tono	b
187	emociones	f
431	tipo_entidad	h
431	origen_entidad	b
431	proposito	d
431	informacion_presentada	a
431	vision	d
431	consecuencias	c
431	que_muestra	d
431	intencion	a
431	localizacion_problema	b
431	involucrados	a
431	formalidad	a
431	nivel_educacion	b
431	tono	a
431	emociones	h
431	tipo_entidad	h
431	origen_entidad	b
431	proposito	d
431	informacion_presentada	a
431	vision	d
431	consecuencias	c
431	que_muestra	c
431	intencion	b
431	localizacion_problema	b
431	involucrados	e c d
431	formalidad	a
431	nivel_educacion	b
431	tono	b
431	emociones	e
431	tipo_entidad	h
431	origen_entidad	b
431	proposito	d
431	informacion_presentada	a
431	vision	d
431	consecuencias	c
431	que_muestra	d
431	intencion	a
431	localizacion_problema	b
431	involucrados	b
431	formalidad	a
431	nivel_educacion	b
431	tono	b
431	emociones	e
128	tipo_entidad	h
128	origen_entidad	b
128	proposito	d
128	informacion_presentada	a
128	vision	d
128	consecuencias	c
128	que_muestra	c
128	intencion	b
128	localizacion_problema	b
128	involucrados	a
128	formalidad	a
128	nivel_educacion	b
128	tono	b
128	emociones	h
128	tipo_entidad	h
128	origen_entidad	b
128	proposito	d
128	informacion_presentada	a
128	vision	d
128	consecuencias	c
128	que_muestra	c
128	intencion	b
128	localizacion_problema	c
128	involucrados	b e
128	formalidad	a
128	nivel_educacion	b
128	tono	b
128	emociones	h
128	tipo_entidad	h
128	origen_entidad	b
128	proposito	d
128	informacion_presentada	a
128	vision	d
128	consecuencias	c
128	que_muestra	d
128	intencion	a
128	localizacion_problema	b
128	involucrados	c
128	formalidad	a
128	nivel_educacion	b
128	tono	b
128	emociones	h
217	tipo_entidad	h
217	origen_entidad	b
217	proposito	d
217	informacion_presentada	a
217	vision	d
217	consecuencias	d
217	que_muestra	c
217	intencion	a
217	localizacion_problema	c
217	involucrados	c
217	formalidad	a
217	nivel_educacion	b
217	tono	b
217	emociones	h
217	tipo_entidad	h
217	origen_entidad	b
217	proposito	d
217	informacion_presentada	a
217	vision	d
217	consecuencias	a
217	que_muestra	d
217	intencion	a
217	localizacion_problema	c
217	involucrados	c
217	formalidad	a
217	nivel_educacion	b
217	tono	b
217	emociones	h
217	tipo_entidad	h
217	origen_entidad	b
217	proposito	d
217	informacion_presentada	a
217	vision	d
217	consecuencias	c
217	que_muestra	d
217	intencion	a
217	localizacion_problema	c
217	involucrados	b
217	formalidad	a
217	nivel_educacion	b
217	tono	b
217	emociones	a
379	tipo_entidad	b
379	origen_entidad	a
379	proposito	i e h
379	informacion_presentada	a
379	vision	d
379	consecuencias	c
379	que_muestra	b
379	intencion	e
379	localizacion_problema	c
379	involucrados	c
379	formalidad	a
379	nivel_educacion	b
379	tono	b
379	emociones	e
379	tipo_entidad	b
379	origen_entidad	b
379	proposito	d
379	informacion_presentada	a
379	vision	d
379	consecuencias	a
379	que_muestra	d
379	intencion	e
379	localizacion_problema	c
379	involucrados	f e c
379	formalidad	a
379	nivel_educacion	b
379	tono	a
379	emociones	g
379	tipo_entidad	b
379	origen_entidad	b
379	proposito	d
379	informacion_presentada	a
379	vision	d
379	consecuencias	a
379	que_muestra	d
379	intencion	e
379	localizacion_problema	c
379	involucrados	c
379	formalidad	a
379	nivel_educacion	b
379	tono	a
379	emociones	g
249	tipo_entidad	h
249	origen_entidad	b
249	proposito	d
249	informacion_presentada	a
249	vision	d
249	consecuencias	a
249	que_muestra	d
249	intencion	a f
249	localizacion_problema	b
249	involucrados	a e c f
249	formalidad	a
249	nivel_educacion	b
249	tono	b
249	emociones	h
249	tipo_entidad	h
249	origen_entidad	b
249	proposito	h d
249	informacion_presentada	a
249	vision	d
249	consecuencias	a
249	que_muestra	d
249	intencion	b
249	localizacion_problema	b
249	involucrados	f e c
249	formalidad	a
249	nivel_educacion	b
249	tono	b
249	tipo_entidad	h
249	origen_entidad	b
249	proposito	d
249	informacion_presentada	a
249	vision	d
249	consecuencias	b
249	que_muestra	c
249	intencion	b
249	localizacion_problema	b
249	involucrados	e c
249	formalidad	a
249	nivel_educacion	b
249	tono	b
249	emociones	c
99	tipo_entidad	c
99	origen_entidad	b
99	proposito	d
99	informacion_presentada	a
99	vision	d
99	consecuencias	d
99	que_muestra	d
99	intencion	a
99	localizacion_problema	c
99	involucrados	c
99	formalidad	a
99	nivel_educacion	b
99	tono	b
99	emociones	g
99	tipo_entidad	c
99	origen_entidad	b
99	proposito	d
99	informacion_presentada	a
99	vision	d
99	consecuencias	d
